|        x         |        y         |zx |nx |zy |ny | f |no |       out        |zr |ng |
| 0000000000000000 | 1111111111111111 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0000000000000000 | 1111111111111111 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 0 | 0 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 0 | 1 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 1 | 1 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0000000000000000 | 1111111111111111 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 0 | 0 | 1 | 1 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111111111110 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111111111 | 0 | 1 |
| 0000000000010110 | 0000000000000111 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0000000000010110 | 0000000000000111 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0000000000010110 | 0000000000000111 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000010110 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000111 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111101001 | 0 | 1 |
| 0000000000010110 | 0000000000000111 | 1 | 1 | 0 | 0 | 0 | 1 | 1111111111111000 | 0 | 1 |
| 0000000000010110 | 0000000000000111 | 0 | 0 | 1 | 1 | 1 | 1 | 1111111111101010 | 0 | 1 |
| 0000000000010110 | 0000000000000111 | 1 | 1 | 0 | 0 | 1 | 1 | 1111111111111001 | 0 | 1 |
| 0000000000010110 | 0000000000000111 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000010111 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000001000 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 0 | 0 | 1 | 1 | 1 | 0 | 0000000000010101 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 1 | 1 | 0 | 0 | 1 | 0 | 0000000000000110 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000011101 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000001111 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111110001 | 0 | 1 |
| 0000000000010110 | 0000000000000111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000110 | 0 | 0 |
| 0000000000010110 | 0000000000000111 | 0 | 1 | 0 | 1 | 0 | 1 | 0000000000010111 | 0 | 0 |
